ROLE NOUN	TOTAL	2000	2001	2002	2003	2004	2005	2006	2007	2008
system analyst	14	0	0	0	5	0	0	1	0	0
system analyst	75	2	1	10	9	19	0	4	5	1
system analyst	47	2	3	7	1	9	2	0	0	0
system analyst	42	0	1	1	0	0	3	3	0	0
system analyst	55	1	1	0	1	1	0	1	2	1
system analyst	251	9	5	6	7	5	13	6	3	2
system analyst	5978	152	140	169	188	163	135	135	93	113
system analyst	132	5	7	1	1	4	2	2	0	1
system analyst	538	22	16	8	10	11	13	8	4	7
system analyst	26	0	0	0	0	0	1	0	0	0
system analyst	5127	144	159	162	124	147	132	180	95	156
system analyst	462	16	10	10	12	10	12	6	8	6
system analyst	3616	108	67	75	96	88	97	75	59	66
system analyst	37	2	1	0	3	0	1	1	3	0
angler	29	0	0	1	0	1	0	0	1	0
angler	15	1	1	0	0	1	0	0	0	0
angler	70	1	0	1	1	0	2	0	0	3
angler	137	1	3	1	1	0	1	3	1	14
angler	13	0	0	0	0	1	0	2	1	1
angler	1900	43	34	36	30	51	34	47	45	102
angler	3469	50	26	124	30	90	32	94	58	184
angler	320	3	7	2	3	13	8	6	17	23
angler	2802	63	57	96	46	77	64	81	76	185
angler	748	28	12	11	8	29	27	23	17	65
angler	38	1	3	0	2	2	1	1	4	0
angler	10	0	0	0	0	0	0	0	1	1
angler	1308	25	28	36	32	66	26	84	45	106
angler	22	0	0	0	2	1	2	1	0	0
angler	21	0	0	3	1	0	0	3	0	0
angler	83	4	0	6	6	4	2	1	0	5
angler	613	4	7	6	9	19	10	14	20	69
angler	6383	161	233	268	318	289	278	387	423	438
angler	1131	22	18	32	26	25	45	145	32	80
angler	3999	107	127	185	189	230	182	191	247	270
angler	563	36	30	43	32	22	31	29	32	74
angler	996	36	28	37	44	38	46	33	50	80
angler	23543	832	858	1092	974	1157	907	1202	1439	1742
angler	1800	61	46	76	103	69	78	88	96	139
angler	28860	619	557	801	675	818	702	822	1039	2021
angler	17	1	1	0	0	0	0	3	1	1
animator	17	0	0	1	2	1	0	1	1	1
animator	29	2	0	2	0	3	3	3	0	0
animator	143	4	6	7	4	9	8	19	8	3
animator	23	2	0	0	1	2	2	1	2	0
animator	1776	65	77	128	100	174	88	116	109	73
animator	743	22	40	27	133	58	32	49	34	27
animator	187	9	11	7	15	25	9	8	5	2
animator	3803	126	140	229	441	239	184	310	217	230
animator	249	5	6	4	33	16	12	10	12	9
animator	38	0	2	1	1	4	0	0	4	8
animator	478	19	19	13	50	27	22	43	16	13
animator	57	2	1	1	8	5	4	8	4	3
animator	158	5	5	8	10	15	8	12	7	4
animator	2744	141	126	220	233	284	149	160	168	96
animator	279	8	9	23	21	14	14	16	10	5
animator	534	21	44	33	41	50	49	49	26	28
animator	92	5	14	13	10	8	3	7	4	6
animator	279	16	7	14	30	19	18	26	8	12
animator	4203	183	253	385	543	402	228	313	254	235
animator	254	12	19	35	18	22	13	20	16	3
animator	2553	108	131	166	271	208	143	167	135	133
radio announcer	71	0	0	0	0	2	0	0	0	0
radio announcer	96	0	0	4	1	2	1	5	1	1
radio announcer	11	2	1	0	0	0	1	0	0	0
radio announcer	581	11	17	12	18	15	23	24	17	7
radio announcer	77	2	2	6	2	1	1	3	3	1
radio announcer	59	2	3	0	3	6	2	1	0	0
